norm	energy
0.038352598035466805	0.01045
0.03460392444262436	0.01135
0.03173129956984836	0.01225
0.029592110834802406	0.01315
0.02758534806906882	0.01405
0.025504732358911025	0.01495
0.023636762195629824	0.01585
0.022268700066502813	0.01675
0.0207549693711322	0.01765
0.020308286390028556	0.01855
0.01910753937982121	0.01945
0.017736421266786994	0.02035
0.017981154644689273	0.02125
0.015736279799519023	0.02215
0.015512428978316	0.02305
0.015039770134001084	0.02395
0.014637653584877564	0.02485
0.015292652802322585	0.02575
0.014846224486544544	0.02665
0.012178605200877114	0.02755
0.010997722086066626	0.02845
0.011639988037231614	0.02935
0.01162012414183476	0.03025
0.011452299692263893	0.03115
0.011330060335975552	0.03205
0.010742547429814715	0.03295
0.010060808353181617	0.03385
0.009557844335120217	0.03475
0.009324061566218766	0.03565
0.009147069164926273	0.03655
0.009040364393499575	0.03745
0.008774493793572435	0.03835
0.00895607017072574	0.03925
0.008579674819487893	0.04015
0.00862907989265443	0.04105
0.008189018210016405	0.04195
0.008321953509979975	0.04285
0.007815678842685764	0.04375
0.00792161961813566	0.04465
0.0074548180763095604	0.04555
0.0075312176739897735	0.04645
0.007466023350635991	0.04735
0.007350914623464471	0.04825
0.007808548213568945	0.04915
0.007667718288511753	0.05005
0.007332324054695619	0.05095
0.0071614436212175435	0.05185
0.006694642079391444	0.05275
0.0068451492868214624	0.05365
0.007015775054973938	0.05455
0.004765297572640471	0.05545
0.00458957849797598	0.05635
0.005339058551218868	0.05725
0.005292454796633938	0.05815
0.005728696499387953	0.05905
0.005712397918549508	0.05995
0.0057062859507350915	0.06085
0.0055483934488626515	0.06175
0.005479124480299258	0.06265
0.005269025586678673	0.06355
0.005661974184080567	0.06445
0.005326325284938833	0.06535
0.005235155098373779	0.06625
0.005060454685011692	0.06715
0.005157736839391163	0.06805
0.004928028715699324	0.06895
0.004923699405164112	0.06985
0.005061218680988495	0.07075
0.004940761981979359	0.07165
0.0049486566070729805	0.07255
0.00467183539814501	0.07345
0.004293912054953558	0.07435
0.004624212982257678	0.07525
0.004509358920411758	0.07615
0.004602057098930416	0.07705
0.004464537823106033	0.07795
0.004502737621946139	0.07885
0.004536353444925432	0.07975
0.004526166831901404	0.08065
0.004507576263132552	0.08155
0.004322434571420837	0.08245
0.004024476140468008	0.08335
0.003822526537266645	0.08425
0.0037135297779095416	0.08515
0.003996208289326329	0.08605
0.0038574156868739426	0.08695
0.0038676022998979705	0.08785
0.0026362954506185415	0.08875
0.0034122606977239024	0.08965
0.0035243134409882145	0.09055
0.003532462731407437	0.09145
0.003663360708766201	0.09235
0.0036618327168125974	0.09325
0.0036572487409517844	0.09415
0.003620576934065283	0.09505
0.0036139556355996643	0.09595
0.0035232947796858117	0.09685
0.003561239913200317	0.09775
0.003702069838257509	0.09865
0.00358747044173719	0.09955
0.003281872051016339	0.1045
0.0029910442491803296	0.1135
0.0033358611000436893	0.1225
0.0022874803541432505	0.1315
0.002390849009804578	0.1405
0.0022417424616653627	0.1495
0.0025328503953595334	0.1585
0.001980659569859516	0.1675
0.0018031578379158215	0.1765
0.001632099138709825	0.1855
0.0016201298684065917	0.1945
0.0016414708226919312	0.2035
0.0013021547428615462	0.2125
0.0013276722084867374	0.2215
0.0015546044801295292	0.2305
0.0014272208842640547	0.2395
0.0010433383724535454	0.2485
0.0010621326734828777	0.2575
0.001123226885094488	0.2665
0.001158396166559946	0.2755
0.0011624198787044372	0.2845
0.0009098682753062138	0.2935
0.0011294916521042654	0.3025
0.0012673674593844894	0.3115
0.00110242072799291	0.3205
0.0008109817293754584	0.3295
0.0008078748124031298	0.3385
0.000828426304179107	0.3475
0.0006551265501078244	0.3565
0.0005855519831537107	0.3655
0.0005552977424723464	0.3745
0.000518880600911445	0.3835
0.0005355611797382914	0.3925
0.0005645420937916521	0.4015
0.0005491093750602492	0.4105
0.0004828709238715047	0.4195
0.0004198412557853292	0.4285
0.0003907330090691681	0.4375
0.00044230273750331167	0.4465
0.000543303005636553	0.4555
0.00064995684399813	0.4645
0.0007114585201307013	0.4735
0.0007688600845211011	0.4825
0.0007996236558536668	0.4915
0.0008338761421469622	0.5005
0.0006232169848100556	0.5095
0.0007110510556097401	0.5185
0.0007162462282519946	0.5275
0.000725006715452659	0.5365
0.0008088680071729725	0.5455
0.0007650655711696506	0.5545
0.0006975792598854626	0.5635
0.0006979867244064238	0.5725
0.0006711449990881089	0.5815
0.0006019524301223964	0.5905
0.0005942106042241348	0.5995
0.0005559089392537882	0.6085
0.0005729715160690356	0.6175
0.0006155770250420343	0.6265
0.0007285210969459488	0.6355
0.0005199756618115281	0.6445
0.000539381159622302	0.6535
0.0005256546985724238	0.6625
0.0005416986140852685	0.6715
0.000490128885651125	0.6805
0.0004920898086582504	0.6895
0.0005024801539427593	0.6985
0.0005191861993021658	0.7075
0.0004936178006118546	0.7165
0.0004906891493674465	0.7255
0.0004982781760703476	0.7345
0.00039595364824398263	0.7435
0.00043114839624200065	0.7525
0.0004764278911338068	0.7615
0.0004121248964196277	0.7705
0.0004104186387381029	0.7795
0.00044321953267547427	0.7885
0.00038923048364812395	0.7975
0.0003803935968497793	0.8065
0.0003513362831987384	0.8155
0.00032026711347545186	0.8245
0.00032485108933626465	0.8335
0.00029823856281099056	0.8425
0.00030610772137205244	0.8515
0.0002782218682187748	0.8605
0.00026133755713144774	0.8695
0.0002426629488051478	0.8785
0.00021027206604199358	0.8875
0.00020436892379456915	0.8965
0.0001886178734061653	0.9055
0.0001696300267293764	0.9145
0.00017659512338455579	0.9235
