norm	energy
0.028021351208182346	0.01045
0.027723455247810565	0.01135
0.023905740871266148	0.01225
0.022725635589719954	0.01315
0.021230963105983006	0.01405
0.020390295239832913	0.01495
0.017087749565399327	0.01585
0.01785927277285762	0.01675
0.017280698692025455	0.01765
0.01651491476453763	0.01855
0.01613256939888614	0.01945
0.015669054216509496	0.02035
0.01576470888268392	0.02125
0.01285134105005714	0.02215
0.012636254700687789	0.02305
0.013837404008792359	0.02395
0.013485394837270473	0.02485
0.015189687689452518	0.02575
0.01381171389844837	0.02665
0.009150052067199307	0.02755
0.008553166950270894	0.02845
0.008953276753926204	0.02935
0.009214277343059279	0.03025
0.009104137827435584	0.03115
0.010614388356806653	0.03205
0.009206898268811539	0.03295
0.009063689568596113	0.03385
0.009105777621712859	0.03475
0.009501241341582554	0.03565
0.007640348135920664	0.03655
0.008517911373309463	0.03745
0.008599901087173257	0.03835
0.00881116124989563	0.03925
0.00791474037831816	0.04015
0.0076269564826562455	0.04105
0.007382627135342141	0.04195
0.008292439660184033	0.04285
0.008089105169801826	0.04375
0.007558905020149297	0.04465
0.006960926707036033	0.04555
0.006991536200211848	0.04645
0.00718803821443874	0.04735
0.007150049647015182	0.04825
0.007439473336954371	0.04915
0.006962839800359522	0.05005
0.0071661742907417275	0.05095
0.007094023342541589	0.05185
0.0067319021063098365	0.05275
0.00701230692772401	0.05365
0.006488392656134372	0.05455
0.004097845898912378	0.05545
0.005256360555807775	0.05635
0.0056534640699547455	0.05725
0.00641378201651832	0.05815
0.005972950654977326	0.05905
0.006286424660983229	0.05995
0.006250622485929371	0.06085
0.0057354537838185385	0.06175
0.006070245115429028	0.06265
0.005616295399669826	0.06355
0.005341903157272332	0.06445
0.005647998089030493	0.06535
0.005467074120437723	0.06625
0.005769342865548907	0.06715
0.005609189624468297	0.06805
0.005412960909287619	0.06895
0.005455048962404366	0.06985
0.00597131086070005	0.07075
0.0049191095327813725	0.07165
0.005421433179720212	0.07255
0.005726708214339734	0.07345
0.00435857318899924	0.07435
0.004814982596174355	0.07525
0.005382078117065591	0.07615
0.004320038023483257	0.07705
0.004852151266459275	0.07795
0.0048835806567737285	0.07885
0.005276857984273723	0.07975
0.004856524051198677	0.08065
0.0058275555623921995	0.08155
0.005489757941273372	0.08245
0.003921568014105223	0.08335
0.0038636286163081426	0.08425
0.004669860802635441	0.08515
0.004540863652823073	0.08605
0.004125175803533642	0.08695
0.0038868590352362175	0.08785
0.003364584557923855	0.08875
0.0040962061046351025	0.08965
0.004364039169923493	0.09055
0.004937967166970044	0.09145
0.004069422798106263	0.09235
0.004761415983116677	0.09325
0.003988799579473533	0.09415
0.004430724137199378	0.09505
0.004288062035076378	0.09595
0.004683799053992286	0.09685
0.004333429676747677	0.09775
0.004539223858545798	0.09865
0.004416239287750108	0.09955
0.004022415362157689	0.1045
0.003737364456957901	0.1135
0.004075981975215367	0.1225
0.003219462764384942	0.1315
0.00331648392579043	0.1405
0.0032309413243258728	0.1495
0.0033973804434693725	0.1585
0.0030874593250642345	0.1675
0.002740369536374177	0.1765
0.0025026266960737984	0.1855
0.002406152132760735	0.1945
0.002595685021309204	0.2035
0.0021381004282353747	0.2125
0.002159253774412233	0.2215
0.0024643648296040284	0.2305
0.0022223585241827326	0.2395
0.0019318689679633137	0.2485
0.001825118360512655	0.2575
0.001908747868653724	0.2665
0.0020994012832916643	0.2755
0.001869146836857512	0.2845
0.0016061511646870853	0.2935
0.0019491687975885742	0.3025
0.002251218903462788	0.3115
0.001755208464491461	0.3205
0.0014652655063644674	0.3295
0.001564691699376627	0.3385
0.0014997558459965029	0.3475
0.0012981158097008145	0.3565
0.0009821821122789984	0.3655
0.0010846692546087398	0.3745
0.0008936332213061019	0.3835
0.0009700749645317785	0.3925
0.0009787385442967193	0.4015
0.000888659178665032	0.4105
0.0007671504227188906	0.4195
0.0006824823782022136	0.4285
0.00066381605334589	0.4375
0.0007965027402821285	0.4465
0.000915551804812356	0.4555
0.0011861178605628731	0.4645
0.001298990366648695	0.4735
0.0016044293806959456	0.4825
0.0014397393754482064	0.4915
0.001401040230504496	0.5005
0.0013370882536907374	0.5095
0.001427085629608561	0.5185
0.0014965309172511939	0.5275
0.001402871334114121	0.5365
0.001654415776248238	0.5455
0.0015913110264777386	0.5545
0.0012659485119615862	0.5635
0.0014426363453380604	0.5725
0.0013961208476726684	0.5815
0.0013356124388411892	0.5905
0.0011706491345472375	0.5995
0.001364035539647304	0.6085
0.0013573943728243368	0.6175
0.00138729328848	0.6265
0.0013132565768609948	0.6355
0.0012302283266215938	0.6445
0.0013470363389728778	0.6535
0.001251026384038376	0.6625
0.0012937703548660336	0.6715
0.0010461614189973783	0.6805
0.0012914199830686048	0.6895
0.0012160714360277788	0.6985
0.0012745301020126634	0.7075
0.0011819637150604408	0.7165
0.001246981558154429	0.7255
0.0012268940782577996	0.7345
0.0012507804148967846	0.7435
0.0011928683470043254	0.7525
0.0012170826424987655	0.7615
0.0010667681670818118	0.7705
0.0010846692546087398	0.7795
0.0009747483782220146	0.7885
0.001052201327918678	0.7975
0.0010843139658486634	0.8065
0.0009306925719725365	0.8155
0.0009172735888034958	0.8245
0.0009599355699172893	0.8335
0.0008948903969186802	0.8425
0.0008567651799720163	0.8515
0.0007576669458153119	0.8605
0.0007523102845095439	0.8695
0.0006713317771167378	0.8785
0.0006422800885043337	0.8875
0.0006872377816063136	0.8965
0.0006353656226351538	0.9055
0.0005051932869240717	0.9145
0.0005889321146836257	0.9235
0.00060199580909259	0.9325
0.000540585513408609	0.9415
